唯一id	数字	花色	伤害值	资源路径		
id	number	type	hurt	iconPath	typeSprite	numberSprite
1	1	1	1	Sprite/Card/IconCard/icon_card_1_1	Sprite/Card/CardType/icon_cardType_1	Sprite/Card/CardNumber/icon_number_1
2	2	1	2	Sprite/Card/IconCard/icon_card_1_2	Sprite/Card/CardType/icon_cardType_1	Sprite/Card/CardNumber/icon_number_2
3	3	1	3	Sprite/Card/IconCard/icon_card_1_3	Sprite/Card/CardType/icon_cardType_1	Sprite/Card/CardNumber/icon_number_3
4	4	1	4	Sprite/Card/IconCard/icon_card_1_4	Sprite/Card/CardType/icon_cardType_1	Sprite/Card/CardNumber/icon_number_4
5	5	1	5	Sprite/Card/IconCard/icon_card_1_5	Sprite/Card/CardType/icon_cardType_1	Sprite/Card/CardNumber/icon_number_5
6	6	1	6	Sprite/Card/IconCard/icon_card_1_6	Sprite/Card/CardType/icon_cardType_1	Sprite/Card/CardNumber/icon_number_6
7	7	1	7	Sprite/Card/IconCard/icon_card_1_7	Sprite/Card/CardType/icon_cardType_1	Sprite/Card/CardNumber/icon_number_7
8	8	1	8	Sprite/Card/IconCard/icon_card_1_8	Sprite/Card/CardType/icon_cardType_1	Sprite/Card/CardNumber/icon_number_8
9	9	1	9	Sprite/Card/IconCard/icon_card_1_9	Sprite/Card/CardType/icon_cardType_1	Sprite/Card/CardNumber/icon_number_9
10	10	1	10	Sprite/Card/IconCard/icon_card_1_10	Sprite/Card/CardType/icon_cardType_1	Sprite/Card/CardNumber/icon_number_10
11	11	1	11	Sprite/Card/IconCard/icon_card_1_11	Sprite/Card/CardType/icon_cardType_1	Sprite/Card/CardNumber/icon_number_11
12	12	1	12	Sprite/Card/IconCard/icon_card_1_12	Sprite/Card/CardType/icon_cardType_1	Sprite/Card/CardNumber/icon_number_12
13	13	1	13	Sprite/Card/IconCard/icon_card_1_13	Sprite/Card/CardType/icon_cardType_1	Sprite/Card/CardNumber/icon_number_13
14	1	2	1	Sprite/Card/IconCard/icon_card_2_1	Sprite/Card/CardType/icon_cardType_2	Sprite/Card/CardNumber/icon_number_1
15	2	2	2	Sprite/Card/IconCard/icon_card_2_2	Sprite/Card/CardType/icon_cardType_2	Sprite/Card/CardNumber/icon_number_2
16	3	2	3	Sprite/Card/IconCard/icon_card_2_3	Sprite/Card/CardType/icon_cardType_2	Sprite/Card/CardNumber/icon_number_3
17	4	2	4	Sprite/Card/IconCard/icon_card_2_4	Sprite/Card/CardType/icon_cardType_2	Sprite/Card/CardNumber/icon_number_4
18	5	2	5	Sprite/Card/IconCard/icon_card_2_5	Sprite/Card/CardType/icon_cardType_2	Sprite/Card/CardNumber/icon_number_5
19	6	2	6	Sprite/Card/IconCard/icon_card_2_6	Sprite/Card/CardType/icon_cardType_2	Sprite/Card/CardNumber/icon_number_6
20	7	2	7	Sprite/Card/IconCard/icon_card_2_7	Sprite/Card/CardType/icon_cardType_2	Sprite/Card/CardNumber/icon_number_7
21	8	2	8	Sprite/Card/IconCard/icon_card_2_8	Sprite/Card/CardType/icon_cardType_2	Sprite/Card/CardNumber/icon_number_8
22	9	2	9	Sprite/Card/IconCard/icon_card_2_9	Sprite/Card/CardType/icon_cardType_2	Sprite/Card/CardNumber/icon_number_9
23	10	2	10	Sprite/Card/IconCard/icon_card_2_10	Sprite/Card/CardType/icon_cardType_2	Sprite/Card/CardNumber/icon_number_10
24	11	2	11	Sprite/Card/IconCard/icon_card_2_11	Sprite/Card/CardType/icon_cardType_2	Sprite/Card/CardNumber/icon_number_11
25	12	2	12	Sprite/Card/IconCard/icon_card_2_12	Sprite/Card/CardType/icon_cardType_2	Sprite/Card/CardNumber/icon_number_12
26	13	2	13	Sprite/Card/IconCard/icon_card_2_13	Sprite/Card/CardType/icon_cardType_2	Sprite/Card/CardNumber/icon_number_13
27	1	3	1	Sprite/Card/IconCard/icon_card_3_1	Sprite/Card/CardType/icon_cardType_3	Sprite/Card/CardNumber/icon_number_1
28	2	3	2	Sprite/Card/IconCard/icon_card_3_2	Sprite/Card/CardType/icon_cardType_3	Sprite/Card/CardNumber/icon_number_2
